Woody plant species,site,years,mesh,sampling side,extension rate,mass loss
Celtis occidentalis,2,3,absent,both,13.19,37.4
Celtis occidentalis,2,3,present,both,1.1,29.8
Celtis occidentalis,6,3,absent,both,0.92,33
Celtis occidentalis,6,3,present,both,9.9,45.7
Celtis occidentalis,7,3,absent,bottom,13.54,49
Celtis occidentalis,7,3,present,both,15.41,67.4
Fraxinus americana,2,3,absent,bottom,4.64,12.6
Fraxinus americana,2,3,present,both,5.46,14.3
Fraxinus americana,6,3,absent,both,5.9,13.6
Fraxinus americana,6,3,present,bottom,1.03,11.4
Fraxinus americana,7,3,absent,both,13.6,26
Fraxinus americana,7,3,present,bottom,10.11,29.6
Juglans nigra,2,3,absent,both,2.33,19.9
Juglans nigra,2,3,present,both,7.9,27.2
Juglans nigra,6,3,absent,bottom,15.96,26.2
Juglans nigra,6,3,present,bottom,7.72,20.2
Juglans nigra,7,3,absent,bottom,16.48,36.6
Juglans nigra,7,3,present,both,15.6,31.5
Juniperus virginiana,2,3,present,bottom,6.83,4.1
Lonicera maackii,2,3,absent,both,10.84,25.2
Lonicera maackii,2,3,present,top,3.31,21.1
Lonicera maackii,6,3,absent,bottom,15.36,23.2
Lonicera maackii,6,3,present,both,2.49,15.2
Lonicera maackii,7,3,absent,both,15.66,28.2
Lonicera maackii,7,3,present,both,3.29,18.2
Pinus echinata,2,3,absent,bottom,1.26,27.7
Quercus alba,2,3,absent,both,12.08,46.9
Quercus alba,2,3,present,both,6.2,27.3
Quercus alba,6,3,absent,both,13.3,46.2
Quercus alba,6,3,present,both,10.88,44.5
Quercus alba,7,3,absent,both,16.4,59.2
Quercus alba,7,3,present,both,6.95,29
Quercus velutina,2,3,absent,both,1.98,25.3
Quercus velutina,2,3,present,both,8.21,32.4
Quercus velutina,6,3,absent,both,2.05,27.9
Quercus velutina,6,3,present,bottom,8.79,37
Quercus velutina,7,3,absent,bottom,15.86,53.2
Quercus velutina,7,3,present,both,9.06,45.2
Acer rubrum,2,5,absent,bottom,16.03,80.2
Aesculus glabra,2,5,absent,both,15.57,81.9
Aesculus glabra,6,5,absent,both,14.38,81.5
Aesculus glabra,7,5,absent,both,6.65,80.1
Amelanchier arborea,2,5,absent,top,0.22,57.3
Amelanchier arborea,6,5,absent,top,7.13,81.5
Amelanchier arborea,7,5,absent,neither,7.82,97.5
Asimina triloba,2,5,absent,both,4.69,46.1
Asimina triloba,6,5,absent,bottom,15.86,67.6
Asimina triloba,7,5,absent,top,2.66,79
Carya tomentosa,6,5,absent,both,14.33,56.9
Carya tomentosa,7,5,absent,bottom,15.41,68.8
Celtis occidentalis,2,5,absent,top,1.45,60.4
Celtis occidentalis,6,5,absent,both,1.08,69.9
Cornus florida,2,5,absent,top,3.38,47.8
Cornus florida,6,5,absent,top,0.26,54.5
Cornus florida,7,5,absent,bottom,1.34,68.5
Diospyros virginiana,2,5,absent,top,1.94,67
Diospyros virginiana,6,5,absent,top,15.09,84.7
Diospyros virginiana,7,5,absent,top,15.19,84.6
Gleditsia triacanthos,2,5,absent,both,7.49,58.8
Gleditsia triacanthos,6,5,absent,both,0.09,62.1
Juniperus virginiana,2,5,absent,bottom,0.02,37.9
Juniperus virginiana,6,5,absent,bottom,0.64,27.6
Juniperus virginiana,7,5,absent,bottom,6.29,32.1
Pinus strobus,6,5,absent,both,5.33,50.7
Platanus occidentalis,2,5,absent,both,3.18,69.1
Platanus occidentalis,6,5,absent,bottom,0.43,81.8
Platanus occidentalis,7,5,absent,both,2.26,62.8
Quercus velutina,2,5,absent,top,0.06,54.5
Quercus velutina,6,5,absent,bottom,0.48,67.4
Quercus velutina,7,5,absent,bottom,1.9,63.2
Ulmus rubra,2,5,absent,bottom,0.34,54.3
Ulmus rubra,6,5,absent,both,0.26,44.5
Ulmus rubra,7,5,absent,both,2.69,74.2
Vitis vulpina,6,5,absent,both,1.82,66.3
